id,price
54273,23905.24661
54274,19252.94318
54275,26005.7731
54276,59700.4982
54277,37228.80376
54278,91257.72804
54279,50145.14085
54280,33703.73566
54281,16983.23057
54282,52982.13034
54283,41486.78612
54284,16733.65631
54285,52639.01128
54286,40789.54506
54287,50200.31408
54288,86678.02351
54289,77349.77882
54290,32111.35567
54291,18218.32688
54292,80204.52689
54293,41588.10298
54294,23393.85783
54295,41243.40191
54296,79259.53944
54297,21329.72924
54298,19972.72863
54299,24172.89409
54300,38529.67559
54301,68391.37192
54302,46795.37801
54303,60851.56696
54304,43911.35735
54305,75500.1065
54306,29235.86473
54307,30700.35241
54308,13036.36694
54309,31874.66019
54310,17986.14542
54311,63388.11603
54312,16857.99276
54313,21107.45067
54314,57997.68048
54315,97707.45014
54316,25295.99233
54317,41560.98014
54318,57042.58516
54319,14182.15748
54320,72476.22296
54321,53022.11434
54322,13958.03598
54323,34452.39307
54324,67664.18652
54325,77677.53746
54326,18860.26868
54327,59412.96531
54328,24712.99224
54329,43377.5218
54330,21610.2453
54331,68805.42736
54332,16725.09515
54333,65341.62947
54334,49653.65495
54335,29435.21564
54336,24066.19988
54337,14355.2835
54338,60209.4513
54339,223746.8404
54340,13755.27734
54341,111893.9132
54342,58255.82263
54343,24904.74893
54344,133072.1856
54345,15704.20358
54346,59989.10935
54347,15530.41136
54348,29345.08273
54349,26058.27599
54350,114557.5635
54351,22812.19711
54352,42714.41097
54353,72477.47774
54354,33366.98644
54355,15123.11842
54356,61251.97595
54357,48130.38166
54358,56102.92445
54359,15405.12224
54360,39598.84508
54361,63487.5781
54362,97966.46231
54363,82280.78605
54364,21605.03371
54365,26044.35932
54366,72899.01092
54367,27078.72588
54368,25998.6464
54369,29335.80637
54370,26581.89551
54371,37966.86298
54372,40921.92722
54373,56280.41945
54374,23856.00351
54375,51652.22266
54376,23848.82776
54377,40796.06154
54378,28741.81055
54379,19863.06116
54380,13662.70965
54381,96879.05148
54382,16637.34175
54383,75005.81996
54384,23903.85917
54385,23505.00151
54386,12914.84845
54387,18472.51628
54388,79184.88625
54389,12389.81052
54390,81260.05193
54391,14737.60055
54392,32066.30481
54393,60221.50054
54394,19851.2848
54395,35858.18495
54396,82840.56822
54397,49101.45132
54398,37923.82645
54399,61379.92879
54400,118121.9976
54401,47052.66106
54402,22317.53575
54403,75726.86884
54404,23242.99263
54405,17948.10236
54406,74048.85175
54407,13091.73059
54408,79055.48959
54409,25194.09161
54410,50536.86268
54411,18342.96896
54412,60576.51738
54413,49121.9313
54414,31183.07434
54415,19099.11129
54416,73072.31903
54417,16201.1521
54418,17813.11229
54419,16713.46827
54420,65355.87649
54421,15950.85817
54422,35795.15999
54423,19409.84445
54424,38175.09468
54425,28123.87473
54426,25142.54021
54427,16389.55026
54428,13110.08096
54429,15628.86304
54430,15493.91837
54431,12928.41046
54432,18051.93082
54433,50759.80021
54434,41324.8059
54435,23199.88672
54436,37187.42514
54437,16339.65838
54438,52713.80853
54439,41688.36522
54440,36427.04066
54441,32999.23622
54442,59747.1869
54443,28117.69725
54444,16058.93407
54445,41500.75501
54446,26267.52827
54447,30736.37426
54448,30088.081
54449,22657.33085
54450,32327.50008
54451,21167.2846
54452,19002.71493
54453,23071.68131
54454,36091.11466
54455,13845.62312
54456,38357.54591
54457,50308.53916
54458,20757.35552
54459,43426.3051
54460,71021.21989
54461,17898.41074
54462,44734.10457
54463,71212.92302
54464,22383.78931
54465,45768.57494
54466,51220.62415
54467,47845.40851
54468,18646.36194
54469,31475.73963
54470,17177.01681
54471,54160.51597
54472,28923.32953
54473,26650.3692
54474,73437.9682
54475,40760.22798
54476,23951.00739
54477,34174.49688
54478,44337.08317
54479,31604.34728
54480,28147.28025
54481,16300.98472
54482,34753.14757
54483,46459.47528
54484,16163.90734
54485,36100.00902
54486,20136.83409
54487,47098.24266
54488,12766.03592
54489,23233.25258
54490,21568.87876
54491,14964.24267
54492,41540.48113
54493,107245.9631
54494,22010.45004
54495,45059.22654
54496,28236.21677
54497,43934.31666
54498,70981.1391
54499,37845.07743
54500,49646.63481
54501,17187.04799
54502,23659.11247
54503,61793.95466
54504,30607.68317
54505,29828.50027
54506,44800.91136
54507,58613.79375
54508,27198.52071
54509,26140.67268
54510,46025.3651
54511,28107.0182
54512,50074.74924
54513,26699.23343
54514,21032.76108
54515,12649.97545
54516,33877.71742
54517,12783.51711
54518,43481.85526
54519,25331.16737
54520,28319.32278
54521,38843.86961
54522,47694.40641
54523,42499.35811
54524,40003.38489
54525,20664.08434
54526,71730.98127
54527,96874.7227
54528,42236.1406
54529,44332.28969
54530,27737.43016
54531,32694.98009
54532,108196.0036
54533,13039.2336
54534,32275.88823
54535,82812.09372
54536,12000.05698
54537,60745.83874
54538,39160.35356
54539,24098.45097
54540,13992.82436
54541,21985.37546
54542,97974.14906
54543,20087.71052
54544,28900.87583
54545,12763.47488
54546,20573.05285
54547,27187.36231
54548,114660.7795
54549,20987.16704
54550,19899.35809
54551,13923.19427
54552,44796.17231
54553,55596.41952
54554,17602.05832
54555,74136.54141
54556,45573.52319
54557,12899.01378
54558,71093.99858
54559,32216.58902
54560,13540.7632
54561,33259.44417
54562,71871.34084
54563,14205.44026
54564,14301.9638
54565,23093.33244
54566,15982.92618
54567,98079.68767
54568,33805.12818
54569,15408.93828
54570,46066.58517
54571,60902.70768
54572,61148.23075
54573,23883.88183
54574,71296.27968
54575,48780.18877
54576,12930.0112
54577,44385.76339
54578,20150.17519
54579,50593.96979
54580,13648.37055
54581,14526.34188
54582,60847.9578
54583,63515.93893
54584,67547.18319
54585,56040.76254
54586,32090.00198
54587,59828.129
54588,40680.35142
54589,37109.43215
54590,52494.92517
54591,17900.53923
54592,21363.64635
54593,42142.52681
54594,83220.76802
54595,33294.80762
54596,24474.0888
54597,41711.59904
54598,33022.06393
54599,90312.16148
54600,16285.6285
54601,66455.99494
54602,53334.6399
54603,68230.04956
54604,41215.31773
54605,17062.94691
54606,15281.23232
54607,41417.18388
54608,60322.39196
54609,47781.93764
54610,14609.88309
54611,27643.0706
54612,24943.13309
54613,20674.66889
54614,12830.38431
54615,15358.12198
54616,28125.03903
54617,53773.47779
54618,44657.37304
54619,12951.6715
54620,15816.22425
54621,16986.81487
54622,29916.2837
54623,46891.62201
54624,26209.10574
54625,23800.69831
54626,30667.13358
54627,43283.82173
54628,26702.86753
54629,25101.60466
54630,20071.57232
54631,40752.72272
54632,210063.653
54633,18047.62113
54634,39524.33261
54635,66644.68208
54636,18162.27411
54637,35865.61606
54638,76235.84279
54639,37514.26634
54640,40683.9987
54641,30402.90815
54642,31257.40952
54643,24138.74615
54644,15389.59641
54645,50116.43355
54646,27174.61154
54647,29586.1247
54648,17194.71663
54649,48009.32849
54650,127243.367
54651,12252.54229
54652,11917.27843
54653,43584.06657
54654,54550.62325
54655,34036.11354
54656,17723.93497
54657,27460.43052
54658,77393.30826
54659,28988.52842
54660,63947.70735
54661,19153.86749
54662,18046.26586
54663,26764.27582
54664,37809.5718
54665,29871.10035
54666,51139.5551
54667,44515.55587
54668,26994.05298
54669,84913.03903
54670,34402.86499
54671,39393.25982
54672,41610.26215
54673,36366.63722
54674,30296.45184
54675,22242.80259
54676,15453.74853
54677,76621.66013
54678,107185.0554
54679,36026.05243
54680,13436.48619
54681,80334.76446
54682,37574.83584
54683,47134.33071
54684,15822.93672
54685,46741.40829
54686,25102.74514
54687,13702.06287
54688,32684.04413
54689,16064.23089
54690,82358.39888
54691,28347.06095
54692,23442.95571
54693,25859.25415
54694,33154.62597
54695,29249.8586
54696,15514.16953
54697,94297.87381
54698,65822.38907
54699,82269.98715
